EMP_ID,AGE,GENDER,STATUS,EMPLOYMENT,SUFFICIENT_INCOME,SALARY,TO_DO_COMPLETED,DAILY_STRESS,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,FLOW,DAILY_STEPS,SLEEP_HOURS,LOST_VACATION,PERSONAL_AWARDS,TIME_FOR_HOBBY,HEALTHY_DIET,WORK_LIFE_BALANCE_SCORE
1,49,0,1,0,1,0,6,2,5,0,5,2,4,5,7,5,4,0,3,609.5
2,49,0,2,1,2,2,5,3,3,8,10,5,2,5,8,2,3,2,2,655.6
3,49,0,2,1,2,2,2,3,4,4,10,3,2,4,8,10,4,8,2,631.6
4,52,0,2,1,1,1,3,3,3,10,7,2,5,5,5,7,5,2,3,622.7
5,52,0,3,1,1,0,5,1,3,10,4,2,0,5,7,0,8,1,5,663.9
6,52,0,3,0,1,1,6,2,9,10,10,2,1,7,8,0,10,8,3,722.3
7,52,1,2,0,1,0,8,2,6,10,10,3,8,7,7,10,10,8,4,727.2
8,34,0,3,0,1,0,8,4,3,5,7,4,2,8,6,0,8,2,3,676.2
9,34,0,1,1,1,0,10,3,4,3,3,5,2,1,10,0,10,3,5,702.8
10,52,0,2,0,1,0,3,4,6,10,10,0,2,3,6,0,3,8,4,634.4
11,49,0,0,1,1,0,2,4,7,1,1,3,2,7,8,7,3,0,2,610.1
12,34,1,1,1,1,0,2,4,8,0,2,1,1,8,7,7,4,1,1,618.6
13,34,1,3,1,1,1,7,2,5,2,8,3,1,6,8,0,5,2,2,686.4
14,49,0,3,0,1,1,8,3,3,6,6,6,7,7,6,0,5,6,5,689.6
15,34,0,1,1,1,0,8,3,3,7,5,3,0,2,8,3,4,5,3,639.7
16,52,0,0,1,1,1,7,3,4,10,10,2,2,8,6,1,8,3,3,720.4
17,34,1,3,0,1,0,8,2,4,6,10,4,2,1,8,1,3,3,4,673.5
18,34,1,3,1,1,0,7,2,10,5,10,0,1,10,8,0,4,8,4,707.6
